date,open,high,low,close,volume,barCount,wap,ema_20
2025-03-31 09:30:00-04:00,549.82,550.63,548.33,548.69,1809735,8874,549.611,548.69
2025-03-31 09:35:00-04:00,548.68,549.66,548.55,549.01,1197036,7706,549.029,548.7204761904762
2025-03-31 09:40:00-04:00,549.02,549.14,547.38,547.42,815869,5179,548.062,548.5966213151928
2025-03-31 09:45:00-04:00,547.42,547.86,546.87,547.7,1166913,7442,547.407,548.511228808984
2025-03-31 09:50:00-04:00,547.64,549.42,547.31,549.31,981155,5901,548.513,548.5873022557474
2025-03-31 09:55:00-04:00,549.3,550.54,549.16,549.74,757859,4359,549.912,548.6970829932953
2025-03-31 10:00:00-04:00,549.75,551.18,549.64,550.48,749581,4361,550.619,548.8668846129815
2025-03-31 10:05:00-04:00,550.48,551.59,550.32,551.37,589674,3044,550.876,549.1052765546023
2025-03-31 10:10:00-04:00,551.38,551.42,550.33,550.91,402662,2245,550.878,549.2771549779735
2025-03-31 10:15:00-04:00,550.88,551.1,549.69,549.77,492517,2701,550.236,549.3240925991189
2025-03-31 10:20:00-04:00,549.79,550.21,549.49,549.77,502770,3051,549.815,549.3665599706313
2025-03-31 10:25:00-04:00,549.73,549.96,549.43,549.51,460056,2297,549.672,549.3802209258093
2025-03-31 10:30:00-04:00,549.55,551.83,549.49,551.73,750950,4467,550.779,549.6040094090656
2025-03-31 10:35:00-04:00,551.72,551.92,550.67,551.33,388435,2387,551.324,549.7683894653451
2025-03-31 10:40:00-04:00,551.28,551.71,550.57,550.87,303904,1745,551.079,549.8733047543599
2025-03-31 10:45:00-04:00,550.86,551.98,550.8,551.62,306733,1849,551.443,550.0396566825161
2025-03-31 10:50:00-04:00,551.6,551.8,550.63,551.48,394558,2297,551.272,550.1768322365622
2025-03-31 10:55:00-04:00,551.51,551.68,551.07,551.6,312458,1686,551.386,550.3123720235562
2025-03-31 11:00:00-04:00,551.61,552.27,551.56,552.08,655288,3333,552.023,550.4807175451223
2025-03-31 11:05:00-04:00,552.07,552.6,551.57,551.63,406678,2177,552.114,550.5901730170153
2025-03-31 11:10:00-04:00,551.63,552.35,551.33,551.42,283686,1685,551.761,550.669204158252
2025-03-31 11:15:00-04:00,551.43,552.31,551.23,552.13,294321,1670,551.901,550.8083275717518
2025-03-31 11:20:00-04:00,552.19,553.31,552.16,553.16,407332,1763,552.776,551.032296374442
2025-03-31 11:25:00-04:00,553.16,553.47,552.43,552.53,380345,2121,553.019,551.1749348149714
2025-03-31 11:30:00-04:00,552.51,552.85,552.09,552.74,271158,1650,552.441,551.323988642117
2025-03-31 11:35:00-04:00,552.75,553.61,552.63,553.43,313677,1867,553.192,551.5245611523916
2025-03-31 11:40:00-04:00,553.45,553.83,553.08,553.25,413191,2482,553.457,551.6888886616877
2025-03-31 11:45:00-04:00,553.25,553.91,553.2,553.88,172807,1054,553.622,551.8975659320031
2025-03-31 11:50:00-04:00,553.87,554.12,553.62,553.92,366498,1978,553.874,552.0901787003837
2025-03-31 11:55:00-04:00,553.89,553.95,553.13,553.32,255593,1328,553.478,552.2073045384424
2025-03-31 12:00:00-04:00,553.32,553.84,553.25,553.6,214816,1202,553.512,552.3399422014479
2025-03-31 12:05:00-04:00,553.58,553.65,552.53,552.65,301545,1719,552.964,552.3694715155957
2025-03-31 12:10:00-04:00,552.66,552.68,551.91,552.48,344345,1887,552.281,552.3799980379199
